ISO,Year,Item,FEi
AFG,2014,"Almonds, with shell",2.2840000000000003
AFG,2014,"Anise, badian, fennel, coriander",21.099
AFG,2014,Apples,12.790000000000001
AFG,2014,Apricots,7.075
AFG,2014,Areca nuts,0.0
AFG,2014,Artichokes,0.0
AFG,2014,Asparagus,0.0
AFG,2014,Avocados,0.0
AFG,2014,Bananas,0.0
AFG,2014,Barley,0.0
AFG,2014,"Beans, dry",10.06
AFG,2014,"Beans, green",0.001
AFG,2014,Berries nes,0.001
AFG,2014,"Brazil nuts, with shell",0.0
AFG,2014,"Broad beans, horse beans, dry",0.0
AFG,2014,Buckwheat,0.0
AFG,2014,Cabbages and other brassicas,0.002
AFG,2014,Canary seed,0.0
AFG,2014,Carrots and turnips,0.184
AFG,2014,"Cashew nuts, with shell",0.0
AFG,2014,Castor oil seed,0.0
AFG,2014,Cauliflowers and broccoli,0.0
AFG,2014,Cereals nes,0.0
AFG,2014,Cherries,0.0
AFG,2014,"Cherries, sour",0.002
AFG,2014,Chick peas,0.018000000000000002
AFG,2014,Chicory roots,0.0
AFG,2014,"Chillies and peppers, dry",0.011
AFG,2014,"Chillies and peppers, green",0.002
AFG,2014,Cinnamon (cannella),0.0
AFG,2014,Cloves,0.0
AFG,2014,"Cocoa, beans",0.0
AFG,2014,Coconuts,0.0
AFG,2014,"Coffee, green",0.0
AFG,2014,Cucumbers and gherkins,0.099
AFG,2014,Dates,0.009000000000000001
AFG,2014,Eggplants (aubergines),0.0
AFG,2014,"Eggs, hen, in shell",0.0
AFG,2014,"Eggs, other bird, in shell",0.0
AFG,2014,"Fat, camels",0.0
AFG,2014,"Fat, cattle",0.0
AFG,2014,"Fat, goats",0.0
AFG,2014,"Fat, sheep",0.0
AFG,2014,Figs,0.08700000000000001
AFG,2014,"Fruit, citrus nes",0.0
AFG,2014,"Fruit, fresh nes",41.407000000000004
AFG,2014,"Fruit, stone nes",0.0
AFG,2014,"Fruit, tropical fresh nes",0.0
AFG,2014,Garlic,0.0
AFG,2014,Ginger,0.0
AFG,2014,Grapefruit (inc. pomelos),0.001
AFG,2014,Grapes,8.654
AFG,2014,"Groundnuts, with shell",0.224
AFG,2014,"Hazelnuts, with shell",0.0
AFG,2014,Hempseed,0.0
AFG,2014,"Honey, natural",0.001
AFG,2014,Kiwi fruit,0.0
AFG,2014,"Leeks, other alliaceous vegetables",0.0
AFG,2014,Lemons and limes,0.001
AFG,2014,Lentils,3.361
AFG,2014,Lettuce and chicory,0.0
AFG,2014,Linseed,0.0
AFG,2014,Maize,1.736
AFG,2014,"Maize, green",0.0
AFG,2014,"Mangoes, mangosteens, guavas",0.0
AFG,2014,Meat nes,0.0
AFG,2014,"Meat, buffalo",0.0
AFG,2014,"Meat, camel",0.0
AFG,2014,"Meat, cattle",0.001
AFG,2014,"Meat, chicken",0.0
AFG,2014,"Meat, duck",0.0
AFG,2014,"Meat, game",0.0
AFG,2014,"Meat, goat",0.0
AFG,2014,"Meat, goose and guinea fowl",0.0
AFG,2014,"Meat, pig",0.0
AFG,2014,"Meat, rabbit",0.0
AFG,2014,"Meat, sheep",0.0
AFG,2014,"Meat, turkey",0.0
AFG,2014,"Melons, other (inc.cantaloupes)",4.17
AFG,2014,Melonseed,3.616
AFG,2014,"Milk, whole fresh camel",0.0
AFG,2014,"Milk, whole fresh cow",0.007
AFG,2014,"Milk, whole fresh goat",0.0
AFG,2014,"Milk, whole fresh sheep",0.0
AFG,2014,Millet,0.0
AFG,2014,Mushrooms and truffles,0.0
AFG,2014,Mustard seed,0.0
AFG,2014,"Nutmeg, mace and cardamoms",0.0
AFG,2014,Nuts nes,0.177
AFG,2014,Oats,0.0
AFG,2014,Offals nes,0.0
AFG,2014,"Offals, edible, camels",0.0
AFG,2014,"Offals, edible, cattle",0.0
AFG,2014,"Offals, edible, goats",0.0
AFG,2014,"Offals, liver chicken",0.0
AFG,2014,"Offals, liver geese",0.0
AFG,2014,"Offals, liver turkeys",0.0
AFG,2014,"Offals, pigs, edible",0.0
AFG,2014,"Offals, sheep,edible",0.0
AFG,2014,Oilseeds nes,0.197
AFG,2014,Olives,0.0
AFG,2014,"Onions, dry",0.0
AFG,2014,Oranges,0.004
AFG,2014,Papayas,0.0
AFG,2014,Peaches and nectarines,0.0
AFG,2014,Pears,0.002
AFG,2014,"Peas, dry",0.0
AFG,2014,"Peas, green",0.001
AFG,2014,Pepper (piper spp.),0.0
AFG,2014,Persimmons,0.0
AFG,2014,Pigeon peas,0.624
AFG,2014,Pineapples,0.0
AFG,2014,Pistachios,1.971
AFG,2014,Plantains and others,0.001
AFG,2014,Plums and sloes,0.011
AFG,2014,Poppy seed,0.001
AFG,2014,Potatoes,7.009
AFG,2014,Pulses nes,15.383000000000001
AFG,2014,"Pumpkins, squash and gourds",0.0
AFG,2014,Quinces,0.0
AFG,2014,Quinoa,0.0
AFG,2014,Rapeseed,0.0
AFG,2014,Raspberries,0.0
AFG,2014,"Rice, paddy",0.0
AFG,2014,Roots and tubers nes,0.135
AFG,2014,Rye,0.0
AFG,2014,Safflower seed,0.0
AFG,2014,Sesame seed,13.369
AFG,2014,Sorghum,0.0
AFG,2014,Soybeans,0.0
AFG,2014,Spices nes,0.01
AFG,2014,Spinach,0.0
AFG,2014,Strawberries,0.0
AFG,2014,Sugar beet,0.0
AFG,2014,Sugar cane,0.0
AFG,2014,Sunflower seed,0.002
AFG,2014,Sweet corn frozen,0.0
AFG,2014,Sweet corn prep or preserved,0.0
AFG,2014,Sweet potatoes,0.17200000000000001
AFG,2014,"Tangerines, mandarins, clementines, satsumas",0.022
AFG,2014,Taro (cocoyam),0.0
AFG,2014,Tea,0.001
AFG,2014,Tomatoes,15.494
AFG,2014,Vanilla,0.0
AFG,2014,"Vegetables, fresh nes",40.0
AFG,2014,"Vegetables, leguminous nes",0.001
AFG,2014,"Walnuts, with shell",1.733
AFG,2014,Watermelons,3.674
AFG,2014,Wheat,0.0
AFG,2014,Yams,0.044
AFG,2015,"Almonds, with shell",2.815
AFG,2015,"Anise, badian, fennel, coriander",17.34
AFG,2015,Apples,32.4
AFG,2015,Apricots,4.822
AFG,2015,Areca nuts,0.0
AFG,2015,Artichokes,0.0
AFG,2015,Asparagus,0.0
AFG,2015,Avocados,0.0
AFG,2015,Bananas,0.002
AFG,2015,Barley,0.0
AFG,2015,"Beans, dry",15.925
AFG,2015,"Beans, green",0.001
AFG,2015,Berries nes,0.001
AFG,2015,"Brazil nuts, with shell",0.0
AFG,2015,"Broad beans, horse beans, dry",0.0
AFG,2015,Buckwheat,0.0
AFG,2015,Cabbages and other brassicas,0.0
AFG,2015,Canary seed,0.0
AFG,2015,Carrots and turnips,0.025
AFG,2015,"Cashew nuts, with shell",0.0
AFG,2015,Castor oil seed,0.0
